,node,z,head,theta,psi,K,C,flux,sink,kappa,v/KsTop,temp,time
24320,66,-65,-58.257,0.1557,4.064864257,0.04504,0.001318,-0.03256,0,-1,-0.000307,20,23.1
24425,66,-65,-58.331,0.1556,4.066133684,0.0447,0.001314,-0.03233,0,-1,-0.000305,20,23.2
24530,66,-65,-58.404,0.1555,4.067384381,0.04437,0.001311,-0.03211,0,-1,-0.000303,20,23.3
24635,66,-65,-58.477,0.1554,4.068633515,0.04403,0.001307,-0.03189,0,-1,-0.000301,20,23.4
24740,66,-65,-58.55,0.1553,4.06988109,0.0437,0.001304,-0.03167,0,-1,-0.000299,20,23.5
24845,66,-65,-58.622,0.1551,4.071110053,0.04337,0.0013,-0.03145,0,-1,-0.000296,20,23.6
24950,66,-65,-58.693,0.155,4.072320469,0.04304,0.001297,-0.03124,0,-1,-0.000294,20,23.7
25055,66,-65,-58.765,0.1549,4.07354644,0.04271,0.001294,-0.03103,0,-1,-0.000292,20,23.8
25160,66,-65,-58.835,0.1548,4.074736916,0.04238,0.00129,-0.03082,0,-1,-0.00029,20,23.9
25265,66,-65,-58.906,0.1547,4.075942953,0.04206,0.001287,-0.03061,0,-1,-0.000288,20,24
25370,66,-65,-58.976,0.1546,4.077130581,0.04173,0.001283,-0.0304,0,-1,-0.000287,20,24.1
25475,66,-65,-59.045,0.1545,4.078299865,0.04141,0.00128,-0.0302,0,-1,-0.000285,20,24.2
25580,66,-65,-59.114,0.1544,4.079467783,0.0411,0.001277,-0.03,0,-1,-0.000283,20,24.3
25685,66,-65,-59.183,0.1543,4.080634338,0.04078,0.001273,-0.02979,0,-1,-0.000281,20,24.4
25790,66,-65,-59.251,0.1542,4.081782658,0.04047,0.00127,-0.02959,0,-1,-0.000279,20,24.5
25895,66,-65,-59.319,0.1541,4.082929659,0.04015,0.001267,-0.0294,0,-1,-0.000277,20,24.6
26000,66,-65,-59.386,0.154,4.084058508,0.03985,0.001264,-0.02922,0,-1,-0.000275,20,24.7
26105,66,-65,-59.453,0.1539,4.085186084,0.03954,0.00126,-0.02901,0,-1,-0.000273,20,24.8
26210,66,-65,-59.519,0.1538,4.086295589,0.03923,0.001257,-0.02882,0,-1,-0.000272,20,24.9
26315,66,-65,-59.585,0.1537,4.087403865,0.03893,0.001254,-0.02864,0,-1,-0.00027,20,25
