,node,z,head,psi,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
8100,16,-15.00 ,-273.023,5.609556041,0.1755,0.00143,0.0001981,0.01153,0,-1,0.000462,20,7.7
8205,16,-15.00 ,-272.919,5.609175048,0.1755,0.001432,0.0001983,0.01157,0,-1,0.000464,20,7.8
8310,16,-15.00 ,-272.817,5.608801241,0.1755,0.001433,0.0001984,0.01161,0,-1,0.000465,20,7.9
8415,16,-15.00 ,-272.714,5.608423627,0.1755,0.001435,0.0001985,0.01164,0,-1,0.000466,20,8
8520,16,-15.00 ,-272.612,5.608049539,0.1755,0.001437,0.0001986,0.01168,0,-1,0.000468,20,8.1
8625,16,-15.00 ,-272.511,5.60767898,0.1756,0.001438,0.0001987,0.01171,0,-1,0.000469,20,8.2
8730,16,-15.00 ,-272.409,5.607304613,0.1756,0.00144,0.0001988,0.01175,0,-1,0.000471,20,8.3
8835,16,-15.00 ,-272.308,5.606933779,0.1756,0.001442,0.0001989,0.01178,0,-1,0.000472,20,8.4
8940,16,-15.00 ,-272.207,5.606562806,0.1756,0.001443,0.000199,0.01181,0,-1,0.000473,20,8.5
9045,16,-15.00 ,-272.107,5.606195371,0.1756,0.001445,0.0001991,0.01185,0,-1,0.000475,20,8.6
9150,16,-15.00 ,-272.007,5.605827801,0.1756,0.001447,0.0001992,0.01188,0,-1,0.000476,20,8.7
9255,16,-15.00 ,-271.907,5.605460096,0.1757,0.001448,0.0001993,0.01191,0,-1,0.000477,20,8.8
9360,16,-15.00 ,-271.808,5.605095935,0.1757,0.00145,0.0001994,0.01194,0,-1,0.000478,20,8.9
9465,16,-15.00 ,-271.709,5.604731641,0.1757,0.001452,0.0001996,0.01197,0,-1,0.00048,20,9
9570,16,-15.00 ,-271.61,5.604367214,0.1757,0.001453,0.0001997,0.012,0,-1,0.000481,20,9.1
9675,16,-15.00 ,-271.512,5.604006337,0.1757,0.001455,0.0001998,0.01203,0,-1,0.000482,20,9.2
9780,16,-15.00 ,-271.415,5.603649015,0.1758,0.001457,0.0001999,0.01206,0,-1,0.000483,20,9.3
9885,16,-15.00 ,-271.317,5.603287879,0.1758,0.001458,0.0002,0.01209,0,-1,0.000484,20,9.4
