,node,depth,head,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
9255,16.0,-15.0,-271.907,0.1757,0.001448,0.0001993,0.01191,0.0,-1.0,0.000477,20.0,8.8
9360,16.0,-15.0,-271.808,0.1757,0.00145,0.0001994,0.01194,0.0,-1.0,0.000478,20.0,8.9
9465,16.0,-15.0,-271.709,0.1757,0.001452,0.0001996,0.01197,0.0,-1.0,0.00048,20.0,9.0
9570,16.0,-15.0,-271.61,0.1757,0.001453,0.0001997,0.012,0.0,-1.0,0.000481,20.0,9.1
9675,16.0,-15.0,-271.512,0.1757,0.001455,0.0001998,0.01203,0.0,-1.0,0.000482,20.0,9.200000000000001
9780,16.0,-15.0,-271.415,0.1758,0.001457,0.0001999,0.01206,0.0,-1.0,0.000483,20.0,9.3
9885,16.0,-15.0,-271.317,0.1758,0.001458,0.0002,0.01209,0.0,-1.0,0.000484,20.0,9.4
9990,16.0,-15.0,-271.22,0.1758,0.00146,0.0002001,0.01212,0.0,-1.0,0.000486,20.0,9.5
10095,16.0,-15.0,-271.124,0.1758,0.001461,0.0002002,0.01215,0.0,-1.0,0.000487,20.0,9.600000000000001
10200,16.0,-15.0,-271.028,0.1758,0.001463,0.0002003,0.01218,0.0,-1.0,0.000488,20.0,9.700000000000001
10305,16.0,-15.0,-270.932,0.1759,0.001465,0.0002004,0.0122,0.0,-1.0,0.000489,20.0,9.8
10410,16.0,-15.0,-270.837,0.1759,0.001466,0.0002005,0.01223,0.0,-1.0,0.00049,20.0,9.9
10515,16.0,-15.0,-270.743,0.1759,0.001468,0.0002006,0.01226,0.0,-1.0,0.000491,20.0,10.0
10620,16.0,-15.0,-270.648,0.1759,0.001469,0.0002007,0.01228,0.0,-1.0,0.000492,20.0,10.100000000000001
10725,16.0,-15.0,-270.555,0.1759,0.001471,0.0002008,0.01231,0.0,-1.0,0.000493,20.0,10.200000000000001
10830,16.0,-15.0,-270.462,0.1759,0.001472,0.0002009,0.01233,0.0,-1.0,0.000494,20.0,10.3
10935,16.0,-15.0,-270.369,0.176,0.001474,0.000201,0.01236,0.0,-1.0,0.000495,20.0,10.4
11040,16.0,-15.0,-270.277,0.176,0.001475,0.0002011,0.01238,0.0,-1.0,0.000496,20.0,10.5
11145,16.0,-15.0,-270.185,0.176,0.001477,0.0002012,0.01241,0.0,-1.0,0.000497,20.0,10.600000000000001
11250,16.0,-15.0,-270.094,0.176,0.001478,0.0002013,0.01243,0.0,-1.0,0.000498,20.0,10.700000000000001
11355,16.0,-15.0,-270.003,0.176,0.00148,0.0002014,0.01245,0.0,-1.0,0.000499,20.0,10.8
11460,16.0,-15.0,-269.913,0.1761,0.001481,0.0002015,0.01248,0.0,-1.0,0.0005,20.0,10.9
11565,16.0,-15.0,-269.824,0.1761,0.001483,0.0002016,0.0125,0.0,-1.0,0.000501,20.0,11.0
11670,16.0,-15.0,-269.735,0.1761,0.001484,0.0002017,0.01252,0.0,-1.0,0.000502,20.0,11.100000000000001
11775,16.0,-15.0,-269.647,0.1761,0.001486,0.0002018,0.01254,0.0,-1.0,0.000502,20.0,11.200000000000001
11880,16.0,-15.0,-269.559,0.1761,0.001487,0.0002019,0.01256,0.0,-1.0,0.000503,20.0,11.3
11985,16.0,-15.0,-269.472,0.1761,0.001489,0.000202,0.01258,0.0,-1.0,0.000504,20.0,11.4
12090,16.0,-15.0,-269.385,0.1762,0.00149,0.0002021,0.0126,0.0,-1.0,0.000505,20.0,11.5
12195,16.0,-15.0,-269.299,0.1762,0.001492,0.0002021,0.01262,0.0,-1.0,0.000506,20.0,11.600000000000001
12300,16.0,-15.0,-269.214,0.1762,0.001493,0.0002022,0.01264,0.0,-1.0,0.000506,20.0,11.700000000000001
12405,16.0,-15.0,-269.129,0.1762,0.001494,0.0002023,0.01266,0.0,-1.0,0.000507,20.0,11.8
12510,16.0,-15.0,-269.045,0.1762,0.001496,0.0002024,0.01267,0.0,-1.0,0.000508,20.0,11.9
12615,16.0,-15.0,-268.961,0.1762,0.001497,0.0002025,0.01269,0.0,-1.0,0.000508,20.0,12.0
12720,16.0,-15.0,-268.879,0.1763,0.001499,0.0002026,0.01271,0.0,-1.0,0.000509,20.0,12.100000000000001
12825,16.0,-15.0,-268.796,0.1763,0.0015,0.0002027,0.01273,0.0,-1.0,0.00051,20.0,12.200000000000001
12930,16.0,-15.0,-268.715,0.1763,0.001501,0.0002028,0.01274,0.0,-1.0,0.00051,20.0,12.3
13035,16.0,-15.0,-268.634,0.1763,0.001503,0.0002029,0.01276,0.0,-1.0,0.000511,20.0,12.4
13140,16.0,-15.0,-268.554,0.1763,0.001504,0.000203,0.01277,0.0,-1.0,0.000512,20.0,12.5
13245,16.0,-15.0,-268.474,0.1763,0.001505,0.000203,0.01279,0.0,-1.0,0.000512,20.0,12.600000000000001
13350,16.0,-15.0,-268.395,0.1764,0.001507,0.0002031,0.0128,0.0,-1.0,0.000513,20.0,12.700000000000001
13455,16.0,-15.0,-268.317,0.1764,0.001508,0.0002032,0.01282,0.0,-1.0,0.000513,20.0,12.8
13560,16.0,-15.0,-268.24,0.1764,0.001509,0.0002033,0.01283,0.0,-1.0,0.000514,20.0,12.9
13665,16.0,-15.0,-268.163,0.1764,0.00151,0.0002034,0.01284,0.0,-1.0,0.000515,20.0,13.0
13770,16.0,-15.0,-268.087,0.1764,0.001512,0.0002035,0.01286,0.0,-1.0,0.000515,20.0,13.100000000000001
13875,16.0,-15.0,-268.011,0.1764,0.001513,0.0002035,0.01287,0.0,-1.0,0.000516,20.0,13.200000000000001
13980,16.0,-15.0,-267.937,0.1764,0.001514,0.0002036,0.01288,0.0,-1.0,0.000516,20.0,13.3
14085,16.0,-15.0,-267.863,0.1765,0.001515,0.0002037,0.01289,0.0,-1.0,0.000517,20.0,13.4
14190,16.0,-15.0,-267.789,0.1765,0.001517,0.0002038,0.01291,0.0,-1.0,0.000517,20.0,13.5
14295,16.0,-15.0,-267.717,0.1765,0.001518,0.0002039,0.01292,0.0,-1.0,0.000517,20.0,13.600000000000001
14400,16.0,-15.0,-267.646,0.1765,0.001519,0.0002039,0.01293,0.0,-1.0,0.000518,20.0,13.700000000000001
14505,16.0,-15.0,-267.576,0.1765,0.00152,0.000204,0.01294,0.0,-1.0,0.000518,20.0,13.8
14610,16.0,-15.0,-267.507,0.1765,0.001521,0.0002041,0.01295,0.0,-1.0,0.000519,20.0,13.9
14715,16.0,-15.0,-267.438,0.1765,0.001522,0.0002042,0.01296,0.0,-1.0,0.000519,20.0,14.0
14820,16.0,-15.0,-267.37,0.1765,0.001523,0.0002042,0.01296,0.0,-1.0,0.000519,20.0,14.100000000000001
14925,16.0,-15.0,-267.303,0.1766,0.001525,0.0002043,0.01297,0.0,-1.0,0.00052,20.0,14.200000000000001
15030,16.0,-15.0,-267.236,0.1766,0.001526,0.0002044,0.01298,0.0,-1.0,0.00052,20.0,14.3
15135,16.0,-15.0,-267.17,0.1766,0.001527,0.0002044,0.01299,0.0,-1.0,0.00052,20.0,14.4
15240,16.0,-15.0,-267.105,0.1766,0.001528,0.0002045,0.013,0.0,-1.0,0.000521,20.0,14.5
15345,16.0,-15.0,-267.04,0.1766,0.001529,0.0002046,0.01301,0.0,-1.0,0.000521,20.0,14.600000000000001
15450,16.0,-15.0,-266.975,0.1766,0.00153,0.0002046,0.01302,0.0,-1.0,0.000521,20.0,14.700000000000001
15555,16.0,-15.0,-266.912,0.1766,0.001531,0.0002047,0.01302,0.0,-1.0,0.000522,20.0,14.8
15660,16.0,-15.0,-266.849,0.1767,0.001532,0.0002048,0.01303,0.0,-1.0,0.000522,20.0,14.9
15765,16.0,-15.0,-266.787,0.1767,0.001533,0.0002049,0.01304,0.0,-1.0,0.000522,20.0,15.0
15870,16.0,-15.0,-266.725,0.1767,0.001534,0.0002049,0.01305,0.0,-1.0,0.000523,20.0,15.100000000000001
15975,16.0,-15.0,-266.664,0.1767,0.001535,0.000205,0.01305,0.0,-1.0,0.000523,20.0,15.200000000000001
16080,16.0,-15.0,-266.604,0.1767,0.001536,0.000205,0.01306,0.0,-1.0,0.000523,20.0,15.3
16185,16.0,-15.0,-266.544,0.1767,0.001537,0.0002051,0.01307,0.0,-1.0,0.000523,20.0,15.4
16290,16.0,-15.0,-266.486,0.1767,0.001538,0.0002052,0.01307,0.0,-1.0,0.000524,20.0,15.5
16395,16.0,-15.0,-266.428,0.1767,0.001539,0.0002052,0.01308,0.0,-1.0,0.000524,20.0,15.600000000000001
16500,16.0,-15.0,-266.37,0.1767,0.00154,0.0002053,0.01308,0.0,-1.0,0.000524,20.0,15.700000000000001
16605,16.0,-15.0,-266.314,0.1768,0.001541,0.0002054,0.01309,0.0,-1.0,0.000524,20.0,15.8
16710,16.0,-15.0,-266.258,0.1768,0.001542,0.0002054,0.01309,0.0,-1.0,0.000525,20.0,15.9
16815,16.0,-15.0,-266.203,0.1768,0.001543,0.0002055,0.0131,0.0,-1.0,0.000525,20.0,16.0
16920,16.0,-15.0,-266.148,0.1768,0.001544,0.0002055,0.0131,0.0,-1.0,0.000525,20.0,16.1
17025,16.0,-15.0,-266.095,0.1768,0.001545,0.0002056,0.01311,0.0,-1.0,0.000525,20.0,16.2
17130,16.0,-15.0,-266.042,0.1768,0.001545,0.0002057,0.01311,0.0,-1.0,0.000525,20.0,16.3
17235,16.0,-15.0,-265.989,0.1768,0.001546,0.0002057,0.01311,0.0,-1.0,0.000525,20.0,16.400000000000002
17340,16.0,-15.0,-265.938,0.1768,0.001547,0.0002058,0.01312,0.0,-1.0,0.000525,20.0,16.5
17445,16.0,-15.0,-265.887,0.1768,0.001548,0.0002058,0.01312,0.0,-1.0,0.000526,20.0,16.6
17550,16.0,-15.0,-265.837,0.1768,0.001549,0.0002059,0.01312,0.0,-1.0,0.000526,20.0,16.7
17655,16.0,-15.0,-265.788,0.1769,0.00155,0.0002059,0.01312,0.0,-1.0,0.000526,20.0,16.8
17760,16.0,-15.0,-265.74,0.1769,0.00155,0.000206,0.01313,0.0,-1.0,0.000526,20.0,16.900000000000002
17865,16.0,-15.0,-265.692,0.1769,0.001551,0.000206,0.01313,0.0,-1.0,0.000526,20.0,17.0
17970,16.0,-15.0,-265.645,0.1769,0.001552,0.0002061,0.01313,0.0,-1.0,0.000526,20.0,17.1
18075,16.0,-15.0,-265.599,0.1769,0.001553,0.0002061,0.01313,0.0,-1.0,0.000526,20.0,17.2
18180,16.0,-15.0,-265.554,0.1769,0.001554,0.0002062,0.01313,0.0,-1.0,0.000526,20.0,17.3
18285,16.0,-15.0,-265.509,0.1769,0.001554,0.0002062,0.01313,0.0,-1.0,0.000526,20.0,17.400000000000002
18390,16.0,-15.0,-265.465,0.1769,0.001555,0.0002063,0.01314,0.0,-1.0,0.000526,20.0,17.5
18495,16.0,-15.0,-265.422,0.1769,0.001556,0.0002063,0.01314,0.0,-1.0,0.000526,20.0,17.6
18600,16.0,-15.0,-265.38,0.1769,0.001556,0.0002064,0.01314,0.0,-1.0,0.000526,20.0,17.7
18705,16.0,-15.0,-265.338,0.1769,0.001557,0.0002064,0.01314,0.0,-1.0,0.000526,20.0,17.8
18810,16.0,-15.0,-265.298,0.177,0.001558,0.0002065,0.01314,0.0,-1.0,0.000526,20.0,17.900000000000002
18915,16.0,-15.0,-265.258,0.177,0.001558,0.0002065,0.01314,0.0,-1.0,0.000526,20.0,18.0
19020,16.0,-15.0,-265.218,0.177,0.001559,0.0002065,0.01314,0.0,-1.0,0.000526,20.0,18.1
19125,16.0,-15.0,-265.18,0.177,0.00156,0.0002066,0.01314,0.0,-1.0,0.000526,20.0,18.2
19230,16.0,-15.0,-265.142,0.177,0.00156,0.0002066,0.01314,0.0,-1.0,0.000526,20.0,18.3
