,node,depth,head,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
6305,6.0,-5.0,-479.006,0.1493,0.0002035,8.281e-05,0.01245,0.0,-1.0,0.000499,20.0,6.0
6410,6.0,-5.0,-479.727,0.1492,0.0002019,8.257e-05,0.01243,0.0,-1.0,0.000498,20.0,6.1000000000000005
6515,6.0,-5.0,-480.426,0.1491,0.0002004,8.233e-05,0.01241,0.0,-1.0,0.000497,20.0,6.2
6620,6.0,-5.0,-481.104,0.1491,0.0001989,8.21e-05,0.01239,0.0,-1.0,0.000496,20.0,6.300000000000001
6725,6.0,-5.0,-481.762,0.149,0.0001974,8.187e-05,0.01237,0.0,-1.0,0.000496,20.0,6.4
6830,6.0,-5.0,-482.399,0.1489,0.000196,8.166e-05,0.01235,0.0,-1.0,0.000495,20.0,6.5
6935,6.0,-5.0,-483.018,0.1489,0.0001946,8.145e-05,0.01234,0.0,-1.0,0.000494,20.0,6.6000000000000005
7040,6.0,-5.0,-483.617,0.1488,0.0001933,8.124e-05,0.01232,0.0,-1.0,0.000494,20.0,6.7
7145,6.0,-5.0,-484.198,0.1488,0.000192,8.104e-05,0.0123,0.0,-1.0,0.000493,20.0,6.800000000000001
7250,6.0,-5.0,-484.762,0.1487,0.0001908,8.085e-05,0.01229,0.0,-1.0,0.000492,20.0,6.9
7355,6.0,-5.0,-485.308,0.1487,0.0001896,8.067e-05,0.01227,0.0,-1.0,0.000492,20.0,7.0
7460,6.0,-5.0,-485.837,0.1486,0.0001884,8.049e-05,0.01225,0.0,-1.0,0.000491,20.0,7.1000000000000005
7565,6.0,-5.0,-486.378,0.1486,0.0001874,8.032e-05,0.01224,0.0,-1.0,0.00049,20.0,7.2
7670,6.0,-5.0,-487.024,0.1485,0.0001869,8.02e-05,0.01225,0.0,-1.0,0.000491,20.0,7.300000000000001
7775,6.0,-5.0,-487.607,0.1485,0.0001864,8.008e-05,0.01225,0.0,-1.0,0.000491,20.0,7.4
7880,6.0,-5.0,-488.164,0.1484,0.0001859,7.998e-05,0.01224,0.0,-1.0,0.000491,20.0,7.5
7985,6.0,-5.0,-488.691,0.1484,0.0001855,7.988e-05,0.01224,0.0,-1.0,0.00049,20.0,7.6000000000000005
8090,6.0,-5.0,-489.195,0.1484,0.0001851,7.978e-05,0.01224,0.0,-1.0,0.00049,20.0,7.7
8195,6.0,-5.0,-489.679,0.1483,0.0001847,7.969e-05,0.01223,0.0,-1.0,0.00049,20.0,7.800000000000001
8300,6.0,-5.0,-490.145,0.1483,0.0001844,7.96e-05,0.01223,0.0,-1.0,0.00049,20.0,7.9
8405,6.0,-5.0,-490.594,0.1483,0.000184,7.952e-05,0.01222,0.0,-1.0,0.00049,20.0,8.0
8510,6.0,-5.0,-491.028,0.1482,0.0001837,7.944e-05,0.01222,0.0,-1.0,0.000489,20.0,8.1
