 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26.11.2022    Time:  10:20:35
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  70   -69.0000     -22.149 0.2542   0.1698E+01  0.5513E-02 -0.1233E+01  0.0000E+00      -1  -0.116E-01   20.00
  71   -70.0000     -21.877 0.2558   0.1777E+01  0.5592E-02 -0.1297E+01  0.0000E+00      -1  -0.122E-01   20.00
  72   -71.0000     -21.608 0.2573   0.1854E+01  0.5670E-02 -0.1360E+01  0.0000E+00      -1  -0.128E-01   20.00
  73   -72.0000     -21.344 0.2589   0.1931E+01  0.5747E-02 -0.1423E+01  0.0000E+00      -1  -0.134E-01   20.00
  74   -73.0000     -21.082 0.2604   0.2007E+01  0.5822E-02 -0.1486E+01  0.0000E+00      -1  -0.140E-01   20.00
  75   -74.0000     -20.825 0.2619   0.2082E+01  0.5897E-02 -0.1548E+01  0.0000E+00      -1  -0.146E-01   20.00
  76   -75.0000     -20.570 0.2633   0.2155E+01  0.5971E-02 -0.1610E+01  0.0000E+00      -1  -0.152E-01   20.00
  77   -76.0000     -20.319 0.2648   0.2228E+01  0.6044E-02 -0.1672E+01  0.0000E+00      -1  -0.158E-01   20.00
  78   -77.0000     -20.071 0.2662   0.2300E+01  0.6116E-02 -0.1733E+01  0.0000E+00      -1  -0.163E-01   20.00
  79   -78.0000     -19.825 0.2676   0.2371E+01  0.6187E-02 -0.1793E+01  0.0000E+00      -1  -0.169E-01   20.00
  80   -79.0000     -19.583 0.2690   0.2441E+01  0.6258E-02 -0.1854E+01  0.0000E+00      -1  -0.175E-01   20.00
  81   -80.0000     -19.344 0.2704   0.2510E+01  0.6327E-02 -0.1913E+01  0.0000E+00      -1  -0.180E-01   20.00
  82   -81.0000     -19.108 0.2718   0.2579E+01  0.6396E-02 -0.1973E+01  0.0000E+00      -1  -0.186E-01   20.00
  83   -82.0000     -18.874 0.2731   0.2647E+01  0.6463E-02 -0.2039E+01  0.0000E+00      -1  -0.192E-01   20.00
  84   -83.0000     -18.643 0.2746   0.2749E+01  0.6535E-02 -0.2128E+01  0.0000E+00      -1  -0.201E-01   20.00
