,node,depth,head,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
10830,16.0,-15.0,-76.411,0.1368,0.01408,0.0008093,0.01328,0.0,-1.0,0.000125,20.0,10.3
10935,16.0,-15.0,-76.611,0.1367,0.01399,0.0008065,0.01323,0.0,-1.0,0.000125,20.0,10.4
11040,16.0,-15.0,-76.809,0.1366,0.0139,0.0008037,0.01317,0.0,-1.0,0.000124,20.0,10.5
11145,16.0,-15.0,-77.004,0.1364,0.01382,0.0008009,0.01311,0.0,-1.0,0.000124,20.0,10.600000000000001
11250,16.0,-15.0,-77.198,0.1363,0.01373,0.0007981,0.01305,0.0,-1.0,0.000123,20.0,10.700000000000001
11355,16.0,-15.0,-77.39,0.1362,0.01364,0.0007954,0.01299,0.0,-1.0,0.000122,20.0,10.8
11460,16.0,-15.0,-77.584,0.136,0.01356,0.0007927,0.01289,0.0,-1.0,0.000121,20.0,10.9
11565,16.0,-15.0,-77.784,0.1359,0.01347,0.0007898,0.01273,0.0,-1.0,0.00012,20.0,11.0
11670,16.0,-15.0,-77.978,0.1358,0.01338,0.000787,0.01265,0.0,-1.0,0.000119,20.0,11.100000000000001
11775,16.0,-15.0,-78.17,0.1357,0.01329,0.0007843,0.01259,0.0,-1.0,0.000119,20.0,11.200000000000001
11880,16.0,-15.0,-78.358,0.1355,0.01321,0.0007816,0.01253,0.0,-1.0,0.000118,20.0,11.3
11985,16.0,-15.0,-78.543,0.1354,0.01312,0.000779,0.01247,0.0,-1.0,0.000118,20.0,11.4
12090,16.0,-15.0,-78.726,0.1353,0.01304,0.0007764,0.01241,0.0,-1.0,0.000117,20.0,11.5
12195,16.0,-15.0,-78.908,0.1352,0.01296,0.0007738,0.01236,0.0,-1.0,0.000116,20.0,11.600000000000001
12300,16.0,-15.0,-79.088,0.135,0.01288,0.0007713,0.0123,0.0,-1.0,0.000116,20.0,11.700000000000001
12405,16.0,-15.0,-79.267,0.1349,0.0128,0.0007687,0.01225,0.0,-1.0,0.000115,20.0,11.8
12510,16.0,-15.0,-79.451,0.1348,0.01272,0.0007661,0.01215,0.0,-1.0,0.000114,20.0,11.9
12615,16.0,-15.0,-79.634,0.1347,0.01263,0.0007635,0.01207,0.0,-1.0,0.000114,20.0,12.0
12720,16.0,-15.0,-79.815,0.1346,0.01255,0.0007609,0.012,0.0,-1.0,0.000113,20.0,12.100000000000001
12825,16.0,-15.0,-79.994,0.1344,0.01247,0.0007584,0.01195,0.0,-1.0,0.000113,20.0,12.200000000000001
12930,16.0,-15.0,-80.172,0.1343,0.01239,0.0007559,0.0119,0.0,-1.0,0.000112,20.0,12.3
13035,16.0,-15.0,-80.347,0.1342,0.01231,0.0007534,0.01185,0.0,-1.0,0.000112,20.0,12.4
13140,16.0,-15.0,-80.52,0.1341,0.01224,0.0007509,0.0118,0.0,-1.0,0.000111,20.0,12.5
13245,16.0,-15.0,-80.692,0.134,0.01216,0.0007485,0.01175,0.0,-1.0,0.000111,20.0,12.600000000000001
13350,16.0,-15.0,-80.862,0.1339,0.01208,0.000746,0.0117,0.0,-1.0,0.00011,20.0,12.700000000000001
13455,16.0,-15.0,-81.033,0.1338,0.01201,0.0007436,0.01163,0.0,-1.0,0.00011,20.0,12.8
13560,16.0,-15.0,-81.203,0.1336,0.01193,0.0007412,0.01156,0.0,-1.0,0.000109,20.0,12.9
13665,16.0,-15.0,-81.373,0.1335,0.01185,0.0007388,0.01149,0.0,-1.0,0.000108,20.0,13.0
13770,16.0,-15.0,-81.541,0.1334,0.01178,0.0007364,0.01142,0.0,-1.0,0.000108,20.0,13.100000000000001
13875,16.0,-15.0,-81.707,0.1333,0.0117,0.000734,0.01136,0.0,-1.0,0.000107,20.0,13.200000000000001
13980,16.0,-15.0,-81.871,0.1332,0.01163,0.0007317,0.0113,0.0,-1.0,0.000107,20.0,13.3
14085,16.0,-15.0,-82.033,0.1331,0.01156,0.0007294,0.01125,0.0,-1.0,0.000106,20.0,13.4
14190,16.0,-15.0,-82.194,0.133,0.01148,0.0007271,0.01119,0.0,-1.0,0.000106,20.0,13.5
14295,16.0,-15.0,-82.354,0.1329,0.01141,0.0007248,0.01115,0.0,-1.0,0.000105,20.0,13.600000000000001
14400,16.0,-15.0,-82.514,0.1328,0.01134,0.0007226,0.0111,0.0,-1.0,0.000105,20.0,13.700000000000001
14505,16.0,-15.0,-82.674,0.1327,0.01127,0.0007203,0.01104,0.0,-1.0,0.000104,20.0,13.8
14610,16.0,-15.0,-82.834,0.1326,0.0112,0.000718,0.01099,0.0,-1.0,0.000104,20.0,13.9
14715,16.0,-15.0,-82.993,0.1325,0.01112,0.0007158,0.01093,0.0,-1.0,0.000103,20.0,14.0
14820,16.0,-15.0,-83.151,0.1323,0.01105,0.0007135,0.01088,0.0,-1.0,0.000103,20.0,14.100000000000001
14925,16.0,-15.0,-83.309,0.1322,0.01098,0.0007113,0.01083,0.0,-1.0,0.000102,20.0,14.200000000000001
15030,16.0,-15.0,-83.464,0.1321,0.01091,0.0007091,0.01078,0.0,-1.0,0.000102,20.0,14.3
15135,16.0,-15.0,-83.619,0.132,0.01084,0.0007069,0.01074,0.0,-1.0,0.000101,20.0,14.4
15240,16.0,-15.0,-83.772,0.1319,0.01077,0.0007047,0.01069,0.0,-1.0,0.000101,20.0,14.5
15345,16.0,-15.0,-83.924,0.1318,0.01071,0.0007025,0.01064,0.0,-1.0,1e-04,20.0,14.600000000000001
15450,16.0,-15.0,-84.075,0.1317,0.01064,0.0007004,0.01059,0.0,-1.0,9.98e-05,20.0,14.700000000000001
15555,16.0,-15.0,-84.225,0.1316,0.01057,0.0006982,0.01054,0.0,-1.0,9.93e-05,20.0,14.8
15660,16.0,-15.0,-84.375,0.1315,0.0105,0.0006961,0.01048,0.0,-1.0,9.88e-05,20.0,14.9
15765,16.0,-15.0,-84.524,0.1314,0.01044,0.000694,0.01043,0.0,-1.0,9.83e-05,20.0,15.0
15870,16.0,-15.0,-84.672,0.1313,0.01037,0.0006919,0.01037,0.0,-1.0,9.78e-05,20.0,15.100000000000001
15975,16.0,-15.0,-84.819,0.1312,0.0103,0.0006898,0.01032,0.0,-1.0,9.73e-05,20.0,15.200000000000001
16080,16.0,-15.0,-84.964,0.1311,0.01024,0.0006877,0.01027,0.0,-1.0,9.68e-05,20.0,15.3
16185,16.0,-15.0,-85.108,0.131,0.01017,0.0006857,0.01022,0.0,-1.0,9.63e-05,20.0,15.4
16290,16.0,-15.0,-85.252,0.131,0.01011,0.0006837,0.01018,0.0,-1.0,9.6e-05,20.0,15.5
16395,16.0,-15.0,-85.396,0.1309,0.01004,0.0006816,0.01014,0.0,-1.0,9.56e-05,20.0,15.600000000000001
