 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   2. 1.2023    Time:  10:36:27
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  52   -51.0000    -122.024 0.2267   0.1840E-01  0.6224E-03  0.2675E-01  0.0000E+00      -1   0.107E-02   20.00
  53   -52.0000    -119.606 0.2281   0.1958E-01  0.6389E-03  0.2723E-01  0.0000E+00      -1   0.109E-02   20.00
  54   -53.0000    -117.265 0.2299   0.2148E-01  0.6603E-03  0.2784E-01  0.0000E+00      -1   0.112E-02   20.00
  55   -54.0000    -115.008 0.2315   0.2331E-01  0.6809E-03  0.2847E-01  0.0000E+00      -1   0.114E-02   20.00
  56   -55.0000    -112.819 0.2331   0.2509E-01  0.7010E-03  0.2903E-01  0.0000E+00      -1   0.116E-02   20.00
  57   -56.0000    -110.690 0.2347   0.2682E-01  0.7204E-03  0.2950E-01  0.0000E+00      -1   0.118E-02   20.00
  58   -57.0000    -108.616 0.2362   0.2850E-01  0.7394E-03  0.2985E-01  0.0000E+00      -1   0.120E-02   20.00
  59   -58.0000    -106.593 0.2377   0.3014E-01  0.7579E-03  0.3008E-01  0.0000E+00      -1   0.121E-02   20.00
  60   -59.0000    -104.618 0.2392   0.3175E-01  0.7760E-03  0.3020E-01  0.0000E+00      -1   0.121E-02   20.00
  61   -60.0000    -102.688 0.2406   0.3331E-01  0.7936E-03  0.3024E-01  0.0000E+00      -1   0.121E-02   20.00
  62   -61.0000    -100.801 0.2420   0.3485E-01  0.8109E-03  0.3023E-01  0.0000E+00      -1   0.121E-02   20.00
  63   -62.0000     -98.952 0.2433   0.3635E-01  0.8278E-03  0.3020E-01  0.0000E+00      -1   0.121E-02   20.00
  64   -63.0000     -97.138 0.2447   0.3782E-01  0.8444E-03  0.3019E-01  0.0000E+00      -1   0.121E-02   20.00
  65   -64.0000     -95.356 0.2460   0.3939E-01  0.8612E-03  0.3022E-01  0.0000E+00      -1   0.121E-02   20.00
  66   -65.0000     -93.621 0.2477   0.4291E-01  0.8865E-03  0.3028E-01  0.0000E+00      -1   0.121E-02   20.00
  67   -66.0000     -91.942 0.2494   0.4632E-01  0.9110E-03  0.3034E-01  0.0000E+00      -1   0.122E-02   20.00
  68   -67.0000     -90.309 0.2510   0.4963E-01  0.9347E-03  0.3035E-01  0.0000E+00      -1   0.122E-02   20.00
  69   -68.0000     -88.717 0.2526   0.5287E-01  0.9579E-03  0.3028E-01  0.0000E+00      -1   0.121E-02   20.00
